AnEar,Date,milk_production
123,2023-01-09,11.5
123,2023-01-10,48.4
123,2023-01-11,66.4
123,2023-01-12,57.1
123,2023-01-13,78.5
123,2023-01-14,87.5
123,2023-01-15,87.0
123,2023-01-16,93.0
123,2023-01-17,96.9
123,2023-01-18,93.3
123,2023-01-19,99.4
123,2023-01-20,106.0
123,2023-01-21,99.3
123,2023-01-22,101.0
123,2023-01-23,109.0
123,2023-01-24,101.0
123,2023-01-25,106.0
123,2023-01-26,105.0
123,2023-01-27,113.0
123,2023-01-28,109.0
123,2023-01-29,116.0
123,2023-01-30,109.0
123,2023-01-31,111.0
123,2023-02-01,122.0
123,2023-02-02,119.0
123,2023-02-03,114.0
123,2023-02-04,123.0
123,2023-02-05,130.0
123,2023-02-06,134.0
123,2023-02-07,61.8
123,2023-02-08,116.0
123,2023-02-09,121.0
123,2023-02-10,107.0
123,2023-02-11,105.0
123,2023-02-12,112.0
123,2023-02-13,119.0
123,2023-02-14,116.0
123,2023-02-15,108.0
123,2023-02-16,111.0
123,2023-02-17,118.0
123,2023-02-18,119.0
123,2023-02-19,128.0
123,2023-02-20,121.0
123,2023-02-21,119.0
123,2023-02-22,118.0
123,2023-02-23,118.0
123,2023-02-24,119.0
123,2023-02-25,122.0
123,2023-02-26,121.0
123,2023-02-27,125.0
123,2023-03-01,128.0
123,2023-02-28,137.0
123,2023-03-02,129.0
123,2023-03-03,122.0
123,2023-03-04,128.0
123,2023-03-05,140.0
123,2023-03-06,119.0
123,2023-03-07,128.0
123,2023-03-08,130.0
123,2023-03-09,126.0
123,2023-03-10,122.0
123,2023-03-11,118.0
123,2023-03-12,129.0
123,2023-03-13,130.0
123,2023-03-14,136.0
123,2023-03-15,141.0
123,2023-03-16,141.0
123,2023-03-17,136.0
123,2023-03-18,130.0
123,2023-03-19,123.0
123,2023-03-20,145.0
123,2023-03-21,134.0
123,2023-03-22,127.0
123,2023-03-23,133.0
123,2023-03-24,128.0
123,2023-03-25,133.0
123,2023-03-26,118.0
123,2023-03-27,119.0
123,2023-03-28,123.0
123,2023-03-29,127.0
123,2023-03-30,140.0
123,2023-03-31,142.0
123,2023-04-01,134.0
123,2023-04-02,140.0
123,2023-04-03,136.0
123,2023-04-04,132.0
123,2023-04-05,131.0
123,2023-04-06,142.0
123,2023-04-07,136.0
123,2023-04-08,136.0
123,2023-04-09,129.0
123,2023-04-10,123.0
123,2023-04-11,129.0
123,2023-04-12,134.0
123,2023-04-13,128.0
123,2023-04-14,133.0
123,2023-04-15,128.0
123,2023-04-16,133.0
123,2023-04-17,128.0
123,2023-04-18,124.0
123,2023-04-19,127.0
123,2023-04-20,130.0
123,2023-04-21,122.0
123,2023-04-22,126.0
123,2023-04-23,127.0
123,2023-04-24,124.0
123,2023-04-25,130.0
123,2023-04-26,123.0
123,2023-04-27,139.0
123,2023-04-28,121.0
